n,sign,q,value,factors,prime,rough_squarefree_P2
1036,1,19,1073315,5*214663,0,0
1036,1,23,1073319,3*13*13*29*73,0,0
1036,1,29,1073325,3*5*5*11*1301,0,0
1036,1,31,1073327,101*10627,0,1
1036,1,37,1073333,37*29009,0,1
1036,1,41,1073337,3*357779,0,0
1036,1,43,1073339,41*47*557,0,0
1036,-1,3,1073293,13*82561,0,1
1036,-1,5,1073291,19*56489,0,1
1036,-1,7,1073289,3*7*51109,0,0
1036,-1,11,1073285,5*214657,0,0
1036,-1,13,1073283,3*131*2731,0,0
1036,-1,17,1073279,1073279,1,1
1036,-1,19,1073277,3*3*3*127*313,0,0
1036,-1,23,1073273,67*83*193,0,0
1036,-1,29,1073267,13*82559,0,1
1036,-1,31,1073265,3*5*71551,0,0
1036,-1,37,1073259,3*3*11*37*293,0,0
1036,-1,41,1073255,5*214651,0,0
1036,-1,43,1073253,3*19*19*991,0,0
1038,1,3,1077447,3*7*51307,0,0
1038,1,5,1077449,1077449,1,1
1038,1,7,1077451,43*25057,0,1
1038,1,11,1077455,5*113*1907,0,0
1038,1,13,1077457,1077457,1,1
1038,1,17,1077461,7*7*11*1999,0,0
1038,1,19,1077463,881*1223,0,1
1038,1,23,1077467,31*34757,0,1
1038,1,29,1077473,673*1601,0,1
1038,1,31,1077475,5*5*7*47*131,0,0
1038,1,37,1077481,23*79*593,0,0
1038,1,41,1077485,5*215497,0,0
1038,1,43,1077487,401*2687,0,1
1038,-1,3,1077441,3*359147,0,0
1038,-1,5,1077439,11*41*2389,0,0
1038,-1,7,1077437,29*53*701,0,0
1038,-1,11,1077433,7*19*8101,0,0
1038,-1,13,1077431,191*5641,0,1
1038,-1,17,1077427,13*67*1237,0,0
1038,-1,19,1077425,5*5*71*607,0,0
1038,-1,23,1077421,1077421,1,1
1038,-1,29,1077415,5*215483,0,0
1038,-1,31,1077413,1077413,1,1
1038,-1,37,1077407,73*14759,0,1
1038,-1,41,1077403,37*37*787,0,0
1038,-1,43,1077401,13*179*463,0,0
1040,1,3,1081603,103*10501,0,1
1040,1,5,1081605,3*5*7*10301,0,0
1040,1,7,1081607,109*9923,0,1
1040,1,11,1081611,3*3*47*2557,0,0
1040,1,13,1081613,13*19*29*151,0,0
1040,1,17,1081617,3*89*4051,0,0
1040,1,19,1081619,7*11*11*1277,0,0
1040,1,23,1081623,3*360541,0,0
1040,1,29,1081629,3*3*120181,0,0
1040,1,31,1081631,1081631,1,1
1040,1,37,1081637,1081637,1,1
1040,1,41,1081641,3*11*73*449,0,0
1040,1,43,1081643,701*1543,0,1
1040,-1,3,1081597,11*98327,0,1
1040,-1,5,1081595,5*216319,0,0
1040,-1,7,1081593,3*3*3*3*3*4451,0,0
1040,-1,11,1081589,79*13691,0,1
1040,-1,13,1081587,3*13*27733,0,0
1040,-1,17,1081583,1081583,1,1
1040,-1,19,1081581,3*67*5381,0,0
1040,-1,23,1081577,7*7*22073,0,0
1040,-1,29,1081571,53*20407,0,1
1040,-1,31,1081569,3*281*1283,0,0
